smiles_1,smiles_2,smiles_3,smiles_4,smiles_5
CCOc1ccccc1,,,CCOc1ccccc1,CCOc1ccccc1
CCOC(=O)C(C)O,,,CCOC(=O)C(C)O,CCOC(=O)C(C)O
CCOC(=O)CC(C)=O,CCOC(=O)CC(C)=O,,CCOC(=O)CC(C)=O,CCOC(=O)CC(C)=O
CCOC(C)=O,CCOC(C)=O,,CCOC(C)=O,CCOC(C)=O
CCOC(=O)c1ccccc1,CCOC(=O)c1ccccc1,,CCOC(=O)c1ccccc1,CCOC(=O)c1ccccc1
CCCC(=O)OCC,CCCC(=O)OCC,,CCCC(=O)OCC,CCCC(=O)OCC
CCOC(=O)CCl,CCOC(=O)CCl,,CCOC(=O)CCl,CCOC(=O)CCl
CCOC(=O)CC#N,,,CCOC(=O)CC#N,CCOC(=O)CC#N
CCOC=O,CCOC=O,,CCOC=O,CCOC=O
CCCCCC(=O)OCC,CCCCCC(=O)OCC,,CCCCCC(=O)OCC,CCCCCC(=O)OCC
CCN=C=S,CCN=C=S,,CCN=C=S,CCN=C=S
CCO[N+](=O)[O-],CCO[N+](=O)[O-],,CCO[N+](=O)[O-],CCO[N+]([O-])=O
CCOC(=O)CC,CCOC(=O)CC,,CCOC(=O)CC,CCOC(=O)CC
CCOC(=O)c1ccccc1O,CCOC(=O)c1ccccc1O,,CCOC(=O)c1ccccc1O,CCOC(=O)c1ccccc1O
CCSC#N,CCSC#N,,CCSC#N,CCSC#N
CCc1ccccc1,,,CCc1ccccc1,CCc1ccccc1
C#Cc1ccccc1,,,C#Cc1ccccc1,C#Cc1ccccc1
Fc1ccccc1,,,Fc1ccccc1,Fc1ccccc1
NC=O,,,NC=O,NC=O
O=CO,O=CO,,O=CO,OC=O
c1ccoc1,C#CC1(O)CCCCC1,,c1ccoc1,o1cccc1
O=Cc1ccco1,,,O=Cc1ccco1,O=Cc1occc1
CCCCCCC=O,,,CCCCCCC=O,CCCCCCC=O
CCCCCCC,CCCCCCC,,CCCCCCC,CCCCCCC
CCCCCCCO,CCCCCCCO,,CCCCCCCO,CCCCCCCO
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC
Fc1c(F)c(F)c(F)c(F)c1F,,,Fc1c(F)c(F)c(F)c(F)c1F,Fc1c(F)c(F)c(F)c(F)c1F
CN(C)P(=O)(N(C)C)N(C)C,,,CN(C)P(=O)(N(C)C)N(C)C,CN(C)[P](=O)(N(C)C)N(C)C
CCCCCC,,,CCCCCC,CCCCCC
CCCCCC#N,,,CCCCCC#N,CCCCCC#N
CCCCCC(=O)O,CCCCCC(=O)O,,CCCCCC(=O)O,CCCCCC(O)=O
CCCCCCO,CCCCCCO,,CCCCCCO,CCCCCCO
CCCCCCOC(C)=O,,,CCCCCCOC(C)=O,CCCCCCOC(C)=O
CCCCCCN,,,CCCCCCN,CCCCCCN
Ic1ccccc1,,,Ic1ccccc1,Ic1ccccc1
CCI,,,CCI,CCI
CI,CI,,CI,CI
C=CC(=C)C,,,C=CC(=C)C,CC(=C)C=C
CC(C)N,,,CC(C)N,CC(C)N
c1ccc2cnccc2c1,,,c1ccc2cnccc2c1,c1ccc2cnccc2c1
COc1ccccc1,COc1ccccc1,,COc1ccccc1,COc1ccccc1
COC(=O)c1ccccc1O,,,COC(=O)c1ccccc1O,COC(=O)c1ccccc1O
C=CC(=O)OC,C=CC(=O)OC,,C=CC(=O)OC,COC(=O)C=C
COC(C)=O,COC(C)=O,,COC(C)=O,COC(C)=O
COC(=O)c1ccccc1,COC(=O)c1ccccc1,,COC(=O)c1ccccc1,COC(=O)c1ccccc1
CCCC(=O)OC,CCCC(=O)OC,,CCCC(=O)OC,CCCC(=O)OC
CCCCCCCCCC(=O)OC,,,CCCCCCCCCC(=O)OC,CCCCCCCCCC(=O)OC
CCCCCCCCCCCC(=O)OC,,,CCCCCCCCCCCC(=O)OC,CCCCCCCCCCCC(=O)OC
COC=O,COC=O,,COC=O,COC=O
CCCCCC(=O)OC,CCCCCC(=O)OC,,CCCCCC(=O)OC,CCCCCC(=O)OC
CCCCCCCC(=O)OC,CCCCCCCC(=O)OC,,CCCCCCCC(=O)OC,CCCCCCCC(=O)OC
CCCCC(=O)OC,CCCCC(=O)OC,,CCCCC(=O)OC,CCCCC(=O)OC
CCC(=O)OC,CCC(=O)OC,,CCC(=O)OC,CCC(=O)OC
CSC#N,CSC#N,,CSC#N,CSC#N
COC(=O)C(Cl)(Cl)Cl,COC(=O)C(Cl)(Cl)Cl,,COC(=O)C(Cl)(Cl)Cl,COC(=O)C(Cl)(Cl)Cl
CCCCC,,,CCC(C)C,CCC(C)C
CC1CCCCC1,,,CC1CCCCC1,CC1CCCCC1
CC1CCCC1,,,CC1CCCC1,CC1CCCC1
CSc1ccccc1,CSc1ccccc1,,CSc1ccccc1,CSc1ccccc1
C1COCCN1,,,C1COCCN1,C1COCCN1
CNC(C)=O,,,CNC(C)=O,CNC(C)=O
CNc1ccccc1,,,CNc1ccccc1,CNc1ccccc1
CNC1CCCCC1,CNC1CCCCC1,,CNC1CCCCC1,CNC1CCCCC1
CNC=O,CNC=O,,CNC=O,CNC=O
CN1CCCCC1,,,CN1CCCCC1,[H+].[Cl-].CN1CCCCC1
CN1CCCC1=O,CN1CCCC1=O,,CN1CCCC1=O,CN1CCCC1=O
,,,CCN(CC)c1ccccc1,CCN(CC)c1ccccc1
,,,CC(=O)N(C)C,CN(C)C(C)=O
,,,CN(C)c1ccccc1,CN(C)c1ccccc1
,,,CN(C)C1CCCCC1,CN(C)C1CCCCC1
,CN(C)C=O,,CN(C)C=O,CN(C)C=O
,CN(C)C(=O)N(C)C,,CN(C)C(=O)N(C)C,CN(C)C(=O)N(C)C
c1ccc2ccccc2c1,,,c1ccc2ccccc2c1,c1ccc2ccccc2c1
O=[N+]([O-])O,O=[N+]([O-])O,,O=[N+]([O-])O,O[N+]([O-])=O
O=[N+]([O-])c1ccccc1,,,O=[N+]([O-])c1ccccc1,[O-][N+](=O)c1ccccc1
CC[N+](=O)[O-],,,CC[N+](=O)[O-],CC[N+]([O-])=O
C[N+](=O)[O-],,,C[N+](=O)[O-],C[N+]([O-])=O
CCCCCCCCC,CCCCCCCCC,,CCCCCCCCC,CCCCCCCCC
CCCCCCCCCO,CCCCCCCCCO,,CCCCCCCCCO,CCCCCCCCCO
CCCCCCCC,,,CCCCCCCC,CCCCCCCC
CCCCCCCC(=O)O,FC(Br)C(F)(F)F,,CCCCCCCC(=O)O,CCCCCCCC(O)=O
CCCCCCCCO,CCCCCCCCO,,CCCCCCCCO,CCCCCCCCO
CCCCCCCCN,CCCCCCCCN,,CCCCCCCCN,CCCCCCCCN
C1CCOCC1,,C1CCOCC1,C1CCOCC1,C1CCOCC1
C1CO1,C1CO1,,C1CO1,C1CO1
O=C1CCCO1,O=C1CCCO1,,O=C1CCCO1,O=C1CCCO1
ClC(Cl)C(Cl)(Cl)Cl,,,ClC(Cl)C(Cl)(Cl)Cl,ClC(Cl)C(Cl)(Cl)Cl
CCCCC=O,CCCCC=O,,CCCCC=O,CCCCC=O
CCCCC,,,CCCCC,CCCCC
CCCCC#N,CCCCC#N,,CCCCC#N,CCCCC#N
CCCCC(=O)O,,,CCCCC(=O)O,CCCCC(O)=O
CCCCCOC(C)=O,CCCCCOC(C)=O,,CCCCCOC(C)=O,CCCCCOC(C)=O
CCCCCOC=O,,,CCCCCOC=O,CCCCCOC=O
CCCCCN,CCCCCN,,CCCCCN,CCCCCN
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
Oc1ccccc1,,,Oc1ccccc1,Oc1ccccc1
CC(=O)Oc1ccccc1,O=C([O-])Cc1ccccc1,,CC(=O)Oc1ccccc1,CC(=O)Oc1ccccc1
S=C=Nc1ccccc1,S=C=Nc1ccccc1,,S=C=Nc1ccccc1,S=C=Nc1ccccc1
NNc1ccccc1,NNc1ccccc1,,NNc1ccccc1,[H+].[Cl-].NNc1ccccc1
