solvent_name_1,solvent_name_2,solvent_name_3,cas_number,chemical_formula,smiles,source
butanol,1-butanol,,71-36-3,C4H10O,CCCCO,https://doi.org/10.1039/C9SC01844A
butoxybenzene,butylphenylether,,1126-79-0,C10H14O,CCCCOc1ccccc1,https://doi.org/10.1039/C9SC01844A
butyl acetate,n-butylacetate,,123-86-4,C6H12O2,CCCCOC(C)=O,https://doi.org/10.1039/C9SC01844A
butylamine,1-butylamine,,109-73-9,C4H11N,CCCCN,https://doi.org/10.1039/C9SC01844A
carbon disulfide,cs2,,75-15-0,CS2,S=C=S,https://doi.org/10.1039/C9SC01844A
chlorobenzene,,,108-90-7,C6H5Cl,Clc1ccccc1,https://doi.org/10.1039/C9SC01844A
chlorocyclohexane,,,542-18-7,C6H11Cl,ClC1CCCCC1,https://doi.org/10.1039/C9SC01844A
"cis-1,2-dichloroethene",,,156-59-2,C2H2Cl2,Cl\C=C/Cl,https://doi.org/10.1039/C9SC01844A
cis-decalin,,,493-01-6,C10H18,C1CCC2CCCCC2C1,https://doi.org/10.1039/C9SC01844A
cumene,isopropylbenzene,,98-82-8,C9H12,CC(C)c1ccccc1,https://doi.org/10.1039/C9SC01844A
cycloheptatriene,,,544-25-2,C7H8,C1C=CC=CC=C1,https://doi.org/10.1039/C9SC01844A
cyclohexanamine,cyclohexylamine,,108-91-8,C6H13N,NC1CCCCC1,https://doi.org/10.1039/C9SC01844A
cyclohexane,,,110-82-7,C6H12,C1CCCCC1,https://doi.org/10.1039/C9SC01844A
cyclohexanecarboxylic acid,cyclohexanecarboxylicacid,,98-89-5,C7H12O2,OC(=O)C1CCCCC1,https://doi.org/10.1039/C9SC01844A
cyclohexanol,,,108-93-0,C6H12O,OC1CCCCC1,https://doi.org/10.1039/C9SC01844A
cyclohexanone,,,108-94-1,C6H10O,O=C1CCCCC1,https://doi.org/10.1039/C9SC01844A
cyclohexene,,,110-83-8,C6H10,C1CCC=CC1,https://doi.org/10.1039/C9SC01844A
cyclohexyl acetate,aceticacidcyclohexylester,,622-45-7,C8H14O2,CC(=O)OC1CCCCC1,https://doi.org/10.1039/C9SC01844A
cyclooctane,,,292-64-8,C8H16,C1CCCCCCC1,https://doi.org/10.1039/C9SC01844A
cyclooctatetraene,,,629-20-9,C8H8,C/1=C/C=C\C=C/C=C1,https://doi.org/10.1039/C9SC01844A
cyclopentane,,,287-92-3,C5H10,C1CCCC1,https://doi.org/10.1039/C9SC01844A
cyclopentanone,,,120-92-3,C5H8O,O=C1CCCC1,https://doi.org/10.1039/C9SC01844A
d-carvone,carvon,,2244-16-8  ,C10H14O,CC(=C)[C@H]1CC=C(C)C(=O)C1,https://doi.org/10.1039/C9SC01844A
decane,n-decane,,124-18-5,C10H22,CCCCCCCCCC,https://doi.org/10.1039/C9SC01844A
decanol,1-decanol,,112-30-1,C10H22O,CCCCCCCCCCO,https://doi.org/10.1039/C9SC01844A
di-n-butyl sulfide,di-n-butylsulfide,,544-40-1,C8H18S,CCCCSCCCC,https://doi.org/10.1039/C9SC01844A
dibenzofuran,,,132-64-9,C12H8O,o1c2ccccc2c3ccccc13,https://doi.org/10.1039/C9SC01844A
dibenzyl ether,dibenzylether,,103-50-4,C14H14O,C(OCc1ccccc1)c2ccccc2,https://doi.org/10.1039/C9SC01844A
dibromomethane,ch2br2,,74-95-3,CH2Br2,BrCBr,https://doi.org/10.1039/C9SC01844A
dibutyl decandioate,decanedioicaciddibutylester,,109-43-3,C18H34O4,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,https://doi.org/10.1039/C9SC01844A
dibutyl ether,di-n-butylether,,142-96-1,C8H18O,CCCCOCCCC,https://doi.org/10.1039/C9SC01844A
dibutyl phthalate,dibutylphthalate,,84-74-2,C16H22O4,CCCCOC(=O)c1ccccc1C(=O)OCCCC,https://doi.org/10.1039/C9SC01844A
dibutylamine,,,111-92-2,C8H19N,CCCCNCCCC,https://doi.org/10.1039/C9SC01844A
dichloromethane,ch2cl2,,75-09-2,CH2Cl2,ClCCl,https://doi.org/10.1039/C9SC01844A
diethanolamine,,,111-42-2,C4H11NO2,OCCNCCO,https://doi.org/10.1039/C9SC01844A
diethyl (2E)-2-butenedioate,"2,4,4-trimethyl-2-pentanethiol",,141-59-3,C8H12O4,CC(C)(C)CC(C)(C)S,https://doi.org/10.1039/C9SC01844A
diethyl (2Z)-2-butenedioate,diethylmaleate,,141-05-9,C8H12O4,CCOC(=O)\C=C/C(=O)OCC,https://doi.org/10.1039/C9SC01844A
diethyl butanedioate,ethylsuccinate,,123-25-1,C8H14O4,CCOC(=O)CCC(=O)OCC,https://doi.org/10.1039/C9SC01844A
diethyl carbonate,diethylcarbonate,,105-58-8,C5H10O3,CCOC(=O)OCC,https://doi.org/10.1039/C9SC01844A
diethyl disulfide,diethyldisulfide,,110-81-6,C4H10S2,CCSSCC,https://doi.org/10.1039/C9SC01844A
diethyl ether,diethylether,,60-29-7,C4H10O,CCOCC,https://doi.org/10.1039/C9SC01844A
diethyl oxalate,ethyloxalat,,95-92-1,C6H10O4,CCOC(=O)C(=O)OCC,https://doi.org/10.1039/C9SC01844A
diethyl propanedioate,diethylmalonate,,105-53-3,C7H12O4,CCOC(=O)CC(=O)OCC,https://doi.org/10.1039/C9SC01844A
diethyl sulfide,diethylsulfide,,352-93-2,C4H10S,CCSCC,https://doi.org/10.1039/C9SC01844A
diethylamine,,,109-89-7,C4H11N,CCNCC,https://doi.org/10.1039/C9SC01844A
diethylene glycol,diethyleneglycol,,111-46-6,C4H10O3,OCCOCCO,https://doi.org/10.1039/C9SC01844A
