,stenutz_name,cosmo_name,other_name,cas_number,chemical_formula,smiles
,,,Cyrene,53716-82-8,,C1CC(=O)[C@@H]2OCC1O2
,,,2-Ethylhexylacetate,103-09-3,,CCCCC(CC)COC(=O)C
,,, Isopropyl acetate,108-21-4,,CC(OC(C)C)=O
,,, Glycol diacetate,111-55-7,,CC(=O)OCCOC(=O)C
,,, Dimethyl adipate,627-93-0,,COC(=O)CCCCC(=O)OC
,,, _-Valerolactone (GVL),108-29-2,,CC1CCC(=O)O1
,,, Dibutyl succinate,141-03-7,,CCCCOC(=O)CCC(=O)OCCCC
,,, Ethyl Lactate,687-47-8,,CCOC(=O)C(C)O
,,, t-Butyl acetate,540-88-5,,O=C(OC(C)(C)C)C
,,, Tert-amyl ethyl ether (TAME),994-05-8,,O(C(C)(C)CC)C
,,, Methyl oleate,111-62-6,,CCCCCCCCC=CCCCCCCCC(=O)OC
,,, Tetramethyl tetrahydrofurane (TMTHF),15045-43-9,,CC1(CCC(O1)(C)C)C
,,,"1,2,3-trimethoxy propane",20637-49-4,,COCC(COC)OC
,,, Dimethyl isosorbide,5306-85-4,,COC1COC2C1OCC2OC
,,, Cyclopentyl methyl ether (CPME),5614-37-9,,COC1CCCC1
,,, Ethyl tert-butyl ether (ETBE),637-92-3,,O(C(C)(C)C)CC
,,, Butyl ether,6863-58-7,,CCCCOCCCC
,,, Tetrahydro furfuryl alcohol (THFA),97-99-4,,C1CC(OC1)CO
,,, Furfuryl alcool,98-00-0,,c1cc(oc1)CO
