,stenutz_name,cosmo_name,other_name,cas_number,chemical_formula,smiles
178,4-ethylpyridine,4-ethylpyridine,,536-75-4,C7H9N,CCc1ccncc1
179,4-fluorotoluene,4-fluorotoluene,,352-32-9,C7H7F,Cc1ccc(F)cc1
180,4-heptanol,4-heptanol,,589-55-9,C7H16O,CCCC(O)CCC
181,4-heptanone,4-heptanone,,123-19-3,C7H14O,CCCC(=O)CCC
182,4-methoxyaniline,p-anisidine,,104-94-9,C7H9NO,COc1ccc(N)cc1
183,"4-methyl-1,3-pentadiene","4-methyl-1,3-pentadiene",,926-56-7,C6H10,CC(C)=CC=C
184,4-methyl-3-heptanol,4-methyl-3-heptanol,,14979-39-6,C8H18O,CCCC(C)C(O)CC
185,4-methyl-3-penten-2-one,4-methyl-3-penten-2-one,,141-79-7,C6H10O,CC(C)=CC(C)=O
186,4-methylaniline,4-methylaniline,,106-49-0,C7H9N,Cc1ccc(N)cc1
187,4-methylpentanenitrile,4-methylpentanitrile,,542-54-1,C6H11N,CC(C)CCC#N
188,4-methylpyridine,4-methylpyridine,,108-89-4,C6H7N,Cc1ccncc1
189,4-nitroanisole,p-nitroanisole,,100-17-4,C7H7NO3,COc1ccc(cc1)[N+]([O-])=O
190,4-octanol,octan-4-ol,,589-62-8,C8H18O,CCCCC(O)CCC
191,5-nonanone,5-nonanone,,502-56-7,C9H18O,CCCCC(=O)CCCC
192,acenaphthene,acenaphthene,,83-32-9,C12H10,C1Cc2cccc3cccc1c23
193,acetaldoxime,acetaldehydeoxime,,107-29-9,C2H5NO,C/C=N/O
194,acetic acid,aceticacid,,64-19-7,C2H4O2,CC(O)=O
195,acetic anhydride,aceticanhydride,,108-24-7,C4H6O3,CC(=O)OC(C)=O
196,acetophenone,acetophenone,,98-86-2,C8H8O,CC(=O)c1ccccc1
197,acetyl chloride,acetylchloride,,75-36-5,C2H3ClO,CC(Cl)=O
198,aniline,aniline,,62-53-3,C6H7N,Nc1ccccc1
199,anthracene,anthracene,,120-12-7,C14H10,c1ccc2cc3ccccc3cc2c1
200,benzaldehyde,benzaldehyde,,100-52-7,C7H6O,O=Cc1ccccc1
201,benzene,benzene,,71-43-2,C6H6,c1ccccc1
202,benzoyl chloride,benzoylchloride,,98-88-4,C7H5ClO,ClC(=O)c1ccccc1
203,benzyl acetate,aceticacidphenylmethylester,,140-11-4,C9H10O2,CC(=O)OCc1ccccc1
204,benzyl alcohol,benzylalcohol,,100-51-6,C7H8O,OCc1ccccc1
205,benzyl chloride,(chloromethyl)-benzene,,100-44-7,C7H7Cl,ClCc1ccccc1
206,benzylamine,benzylamine,,100-46-9,C7H9N,NCc1ccccc1
207,biphenyl,biphenyl,,92-52-4,C12H10,c1ccc(cc1)c2ccccc2
208,bis(2-chloroethyl) ether,bis(2-chloroethyl)ether,,111-44-4,C4H8Cl2O,ClCCOCCCl
209,bromobenzene,bromobenzene,,108-86-1,C6H5Br,Brc1ccccc1
210,bromocyclohexane,bromocyclohexane,,108-85-0,C6H11Br,BrC1CCCCC1
211,bromoethane,bromoethane,,74-96-4,C2H5Br,CCBr
212,bromotrichloromethane,bromotrichloromethane,,75-62-7,CBrCl3,ClC(Cl)(Cl)Br
213,butanal,butanal,,123-72-8,C4H8O,CCCC=O
214,butane,butane,,106-97-8,C4H10,CCCC
215,butanenitrile,butyronitrile,,109-74-0,C4H7N,CCCC#N
216,butanethiol,butanethiol,,109-79-5,C4H10S,CCCCS
217,butanoic acid,butyricacid,,107-92-6,C4H8O2,CCCC(O)=O
218,butanol,1-butanol,,71-36-3,C4H10O,CCCCO
219,butoxybenzene,butylphenylether,,1126-79-0,C10H14O,CCCCOc1ccccc1
220,butylamine,1-butylamine,,109-73-9,C4H11N,CCCCN
221,carbon disulfide,cs2,,75-15-0,CS2,S=C=S
222,chlorobenzene,chlorobenzene,,108-90-7,C6H5Cl,Clc1ccccc1
223,chlorocyclohexane,chlorocyclohexane,,542-18-7,C6H11Cl,ClC1CCCCC1
224,"cis-1,2-dichloroethene","cis-1,2-dichloroethene",,156-59-2,C2H2Cl2,Cl\C=C/Cl
225,cis-decalin,cis-decalin,,493-01-6,C10H18,C1CCC2CCCCC2C1
226,cumene,isopropylbenzene,,98-82-8,C9H12,CC(C)c1ccccc1
227,cycloheptatriene,cycloheptatriene,,544-25-2,C7H8,C1C=CC=CC=C1
228,cyclohexanamine,cyclohexylamine,,108-91-8,C6H13N,NC1CCCCC1
229,cyclohexanecarboxylic acid,cyclohexanecarboxylicacid,,98-89-5,C7H12O2,OC(=O)C1CCCCC1
230,cyclohexanol,cyclohexanol,,108-93-0,C6H12O,OC1CCCCC1
231,cyclohexene,cyclohexene,,110-83-8,C6H10,C1CCC=CC1
232,cyclohexyl acetate,aceticacidcyclohexylester,,622-45-7,C8H14O2,CC(=O)OC1CCCCC1
233,cyclooctane,aceticacidcyclohexylester,,292-64-8,C8H16,C1CCCCCCC1
234,cyclooctatetraene,cyclooctane,,629-20-9,C8H8,C/1=C/C=C\C=C/C=C1
235,cyclopentane,"1,3,5,7-cyclooctatetraene",,287-92-3,C5H10,C1CCCC1
236,cyclopentanone,cyclopentanone,,120-92-3,C5H8O,O=C1CCCC1
237,d-carvone,carvon,,2244-16-8  ,C10H14O,CC(=C)[C@H]1CC=C(C)C(=O)C1
238,decane,n-decane,,124-18-5,C10H22,CCCCCCCCCC
239,decanol,1-decanol,,112-30-1,C10H22O,CCCCCCCCCCO
240,di-n-butyl sulfide,di-n-butylsulfide,,544-40-1,C8H18S,CCCCSCCCC
241,dibenzofuran,dibenzofuran,,132-64-9,C12H8O,o1c2ccccc2c3ccccc13
242,dibenzyl ether,dibenzylether,,103-50-4,C14H14O,C(OCc1ccccc1)c2ccccc2
243,dibromomethane,ch2br2,,74-95-3,CH2Br2,BrCBr
244,dibutyl decandioate,decanedioicaciddibutylester,,109-43-3,C18H34O4,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
245,dibutyl ether,di-n-butylether,,142-96-1,C8H18O,CCCCOCCCC
246,dibutyl phthalate,dibutylphthalate,,84-74-2,C16H22O4,CCCCOC(=O)c1ccccc1C(=O)OCCCC
247,dibutylamine,dibutylamine,,111-92-2,C8H19N,CCCCNCCCC
248,dichloromethane,ch2cl2,,75-09-2,CH2Cl2,ClCCl
249,diethanolamine,diethanolamine,,111-42-2,C4H11NO2,OCCNCCO
250,diethyl (2E)-2-butenedioate,"2,4,4-trimethyl-2-pentanethiol",,141-59-3,C8H12O4,CC(C)(C)CC(C)(C)S
251,diethyl (2Z)-2-butenedioate,diethylmaleate,,141-05-9,C8H12O4,CCOC(=O)\C=C/C(=O)OCC
252,diethyl butanedioate,ethylsuccinate,,123-25-1,C8H14O4,CCOC(=O)CCC(=O)OCC
253,diethyl disulfide,diethyldisulfide,,110-81-6,C4H10S2,CCSSCC
254,diethyl oxalate,ethyloxalat,,95-92-1,C6H10O4,CCOC(=O)C(=O)OCC
255,diethyl propanedioate,diethylmalonate,,105-53-3,C7H12O4,CCOC(=O)CC(=O)OCC
256,diethyl sulfide,diethylsulfide,,352-93-2,C4H10S,CCSCC
257,diethylamine,diethylamine,,109-89-7,C4H11N,CCNCC
258,diethylene glycol,diethyleneglycol,,111-46-6,C4H10O3,OCCOCCO
259,diiodomethane,diiodomethane,,75-11-6,CH2I2,ICI
260,diisopropyl sulfide,"2,4-dimethyl-3-thiapentane",,625-80-9,C6H14S,CC(C)SC(C)C
261,diisopropylamine,diisopropylamine,,108-18-9,C6H15N,CC(C)NC(C)C
262,dimethoxymethane,dimethoxymethane,,109-87-5,C3H8O2,COCOC
263,dimethyl disulfide,dimethyldisulfide,,624-92-0,C2H6S2,CSSC
264,dimethyl phthalate,dimethylphthalate,,131-11-3,C10H10O4,COC(=O)c1ccccc1C(=O)OC
265,dimethyl propanedioate,dimethylmalonate,,108-59-8,C5H8O4,COC(=O)CC(=O)OC
266,dimethyl sulfate,dimethylsulfate,,77-78-1,C2H6O4S,CO[S](=O)(=O)OC
267,dimethyl sulfide,dimethylsulfide,,75-18-3,C2H6S,CSC
268,dimethylcyanamide,dimethylcyanamide,,1467-79-4,C3H6N2,CN(C)C#N
269,dioxane,dioxane,,123-91-1,C4H8O2,C1COCCO1
270,dipentyl ether,di-n-pentylether,,693-65-2,C10H22O,CCCCCOCCCCC
271,diphenyl ether,diphenylether,,101-84-8,C12H10O,O(c1ccccc1)c2ccccc2
272,diphenylmethane,diphenylmethane,,101-81-5,C13H12,C(c1ccccc1)c2ccccc2
273,dipropyl ether,di-n-propylether,,111-43-3,C6H14O,CCCOCCC
274,dipropylamine,dipropylamine,,142-84-7,C6H15N,CCCNCCC
275,dodecane,dodecane,,112-40-3,C12H26,CCCCCCCCCCCC
276,ethanediol,glycol,,107-21-1,C2H6O2,OCCO
277,ethanethiol,ethanethiol,,75-08-1,C2H6S,CCS
278,ethanol,ethanol,,64-17-5,C2H6O,CCO
279,ethoxybenzene,ethoxybenzene,,103-73-1,C8H10O,CCOc1ccccc1
280,ethyl 2-hydroxypropanoate,2-hydroxypropanoicacidethylester,,97-64-3,C5H10O3,CCOC(=O)C(C)O
281,ethyl 3-oxobutanoate,ethylacetoacetate,,141-97-9,C6H10O3,CCOC(=O)CC(C)=O
282,ethyl acetate,ethylacetate,,141-78-6,C4H8O2,CCOC(C)=O
283,ethyl benzoate,ethylbenzoate,,93-89-0,C9H10O2,CCOC(=O)c1ccccc1
284,ethyl butanoate,ethylbutyrate,,105-54-4,C6H12O2,CCCC(=O)OCC
285,ethyl chloroacetate,ethylchloroacetate,,105-39-5,C4H7ClO2,CCOC(=O)CCl
286,ethyl cyanoacetate,cyanoaceticacidethylester,,105-56-6,C5H7NO2,CCOC(=O)CC#N
287,ethyl formate,ethylformate,,109-94-4,C3H6O2,CCOC=O
288,ethyl hexanoate,ethylhexanoate,,123-66-0,C8H16O2,CCCCCC(=O)OCC
289,ethyl isothiocyanate,ethylisothiocyanate,,542-85-8,C3H5NS,CCN=C=S
290,ethyl nitrate,ethylnitrate,,625-58-1,C2H5NO3,CCO[N+]([O-])=O
291,ethyl propanoate,ethylpropionate,,105-37-3,C5H10O2,CCOC(=O)CC
292,ethyl salicylate,ethyl-2-hydroxybenzoate,,118-61-6,C9H10O3,CCOC(=O)c1ccccc1O
293,ethyl thiocyanate,ethylthiocyanate,,542-90-5,C3H5NS,CCSC#N
294,ethylbenzene,ethylbenzene,,100-41-4,C8H10,CCc1ccccc1
295,ethynylbenzene,ethynylbenzene,,536-74-3,C8H6,C#Cc1ccccc1
296,fluorobenzene,fluorobenzene,,462-06-6,C6H5F,Fc1ccccc1
297,formamide,formamide,,75-12-7,CH3NO,NC=O
298,formic acid,formicacid,,64-18-6,CH2O2,OC=O
299,furan,1-ethynylcyclohexanol,,110-00-9,C4H4O,o1cccc1
300,furfural,furfural,,98-01-1,C5H4O2,O=Cc1occc1
301,heptanal,heptanal,,111-71-7,C7H14O,CCCCCCC=O
302,heptane,n-heptane,,142-82-5,C7H16,CCCCCCC
303,heptanol,1-heptanol,,111-70-6,C7H16O,CCCCCCCO
304,hexadecane,n-hexadecane,,544-76-3,C16H34,CCCCCCCCCCCCCCCC
305,hexafluorobenzene,hexafluorobenzene,,392-56-3,C6F6,Fc1c(F)c(F)c(F)c(F)c1F
306,hexamethylphosphoramide,hexamethylphosphoramide,,680-31-9,C6H18N3OP,CN(C)[P](=O)(N(C)C)N(C)C
307,hexane,hexane,,110-54-3,C6H14,CCCCCC
308,hexanenitrile,hexanenitrile,,628-73-9,C6H11N,CCCCCC#N
309,hexanoic acid,n-hexanoicacid,,142-62-1,C6H12O2,CCCCCC(O)=O
310,hexyl acetate,n-hexylacetate,,142-92-7,C8H16O2,CCCCCCOC(C)=O
311,hexylamine,hexylamine,,111-26-2,C6H15N,CCCCCCN
312,iodobenzene,iodobenzene,,591-50-4,C6H5I,Ic1ccccc1
313,iodoethane,iodoethane,,75-03-6,C2H5I,CCI
314,iodomethane,ch3i,,74-88-4,CH3I,CI
315,isoprene,isoprene,,78-79-5,C5H8,CC(=C)C=C
316,isopropylamine,isopropylamine,,75-31-0,C3H9N,CC(C)N
317,isoquinoline,isoquinoline,,119-65-3,C9H7N,c1ccc2cnccc2c1
318,methyl 2-hydroxybenzoate,2-hydroxy-benzoicacidmethylester,,119-36-8,C8H8O3,COC(=O)c1ccccc1O
319,methyl 2-propenoate,methylacrylate,,96-33-3,C4H6O2,COC(=O)C=C
320,methyl acetate,methylacetate,,79-20-9,C3H6O2,COC(C)=O
321,methyl benzoate,methylbenzoate,,93-58-3,C8H8O2,COC(=O)c1ccccc1
322,methyl butanoate,methylbutyrate,,623-42-7,C5H10O2,CCCC(=O)OC
323,methyl decanoate,decanoicacidmethylester,,110-42-9,C11H22O2,CCCCCCCCCC(=O)OC
324,methyl dodecanoate,dodecanoicacidmethylester,,111-82-0,C13H26O2,CCCCCCCCCCCC(=O)OC
325,methyl formate,methylformate,,107-31-3,C2H4O2,COC=O
326,methyl hexanoate,methylhexanoate,,106-70-7,C7H14O2,CCCCCC(=O)OC
327,methyl octanoate,methyloctanoate,,111-11-5,C9H18O2,CCCCCCCC(=O)OC
328,methyl pentanoate,methylvalerate,,624-24-8,C6H12O2,CCCCC(=O)OC
329,methyl propanoate,methylpropionate,,554-12-1,C4H8O2,CCC(=O)OC
330,methyl thiocyanate,methylthiocyanate,,556-64-9,C2H3NS,CSC#N
331,methyl trichloroacetate,methyltrichloroacetate,,598-99-2,C3H3Cl3O2,COC(=O)C(Cl)(Cl)Cl
332,methylbutane,methylbutane,,78-78-4,C5H12,CCC(C)C
333,methylcyclohexane,methylcyclohexane,,108-87-2,C7H14,CC1CCCCC1
334,methylcyclopentane,methylcyclopentane,,96-37-7,C6H12,CC1CCCC1
335,methylsulfanylbenzene,methylthiobenzene,,100-68-5,C7H8S,CSc1ccccc1
336,morpholine,morpholine,,110-91-8,C4H9NO,C1COCCN1
337,"N,N,N',N'-tetramethylurea",tetramethylurea,,632-22-4,C5H12N2O,CN(C)C(=O)N(C)C
338,"N,N-diethylaniline","n,n-diethyl-benzeneamine",,91-66-7,C10H15N,CCN(CC)c1ccccc1
339,"N,N-dimethylaniline","n,n-dimethylaniline",,121-69-7,C8H11N,CN(C)c1ccccc1
340,"N,N-dimethylcyclohexylamine","n,n-dimethylcyclohexylamine",,98-94-2,C8H17N,CN(C)C1CCCCC1
341,N-methylacetamide,n-methylacetamide,,79-16-3,C3H7NO,CNC(C)=O
342,N-methylaniline,n-methylaniline,,100-61-8,C7H9N,CNc1ccccc1
343,N-methylcyclohexylamine,n-methylcyclohexanamine,,100-60-7,C7H15N,CNC1CCCCC1
344,N-methylformamide,methylformamide,,123-39-7,C2H5NO,CNC=O
345,N-methylpiperidine,n-methylpiperidine,,626-67-5,C6H13N,[H+].[Cl-].CN1CCCCC1
346,naphthalene,naphthalene,,91-20-3,C10H8,c1ccc2ccccc2c1
347,nitric acid,nitricacid,,7697-37-2,HNO3,O[N+]([O-])=O
348,nitrobenzene,nitrobenzene,,98-95-3,C6H5NO2,[O-][N+](=O)c1ccccc1
349,nitroethane,nitroethane,,79-24-3,C2H5NO2,CC[N+]([O-])=O
350,nitromethane,nitromethane,,75-52-5,CH3NO2,C[N+]([O-])=O
351,nonane,n-nonane,,111-84-2,C9H20,CCCCCCCCC
352,nonanol,1-nonanol,,143-08-8,C9H20O,CCCCCCCCCO
353,octane,octane,,111-65-9,C8H18,CCCCCCCC
354,octanoic acid,"1-bromo-1,2,2,2-tetrafluoroethane",,124-07-2,C8H16O2,CCCCCCCC(O)=O
355,octylamine,1-octanamine,,111-86-4,C8H19N,CCCCCCCCN
356,oxane,thp,,142-68-7,C5H10O,C1CCOCC1
357,oxirane,ethyleneoxide,,75-21-8,C2H4O,C1CO1
358,oxolan-2-one,gamma-butyrolactone,,96-48-0,C4H6O2,O=C1CCCO1
359,pentachloroethane,pentachloroethane,,76-01-7,C2HCl5,ClC(Cl)C(Cl)(Cl)Cl
360,pentanal,valeraldehyde,,110-62-3,C5H10O,CCCCC=O
361,pentane,pentane,,109-66-0,C5H12,CCCCC
362,pentanenitrile,valeronitrile,,110-59-8,C5H9N,CCCCC#N
363,pentanoic acid,n-bucooh,,109-52-4,C5H10O2,CCCCC(O)=O
364,pentyl acetate,n-pentylacetate,,628-63-7,C7H14O2,CCCCCOC(C)=O
365,pentyl formate,formicacidpentylester,,638-49-3,C6H12O2,CCCCCOC=O
366,pentylamine,n-pentylamine,,110-58-7,C5H13N,CCCCCN
367,perfluoro(methylcyclohexane),perfluoromethylcyclohexane,,355-02-2,C7F14,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
368,perfluoro-n-octane,perfluorooctane,,307-34-6,C8F18,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
369,phenol,phenol,,108-95-2,C6H6O,Oc1ccccc1
370,phenyl acetate,phenylacetate,,122-79-2,C8H8O2,CC(=O)Oc1ccccc1
371,phenyl isothiocyanate,phenylisothiocyanat,,103-72-0,C7H5NS,S=C=Nc1ccccc1
372,phenylhydrazine,phenyl-hydrazine,,100-63-0,C6H8N2,[H+].[Cl-].NNc1ccccc1
373,phenylisocyanate,isocyanatobenzene,,103-71-9,C7H5NO,O=C=Nc1ccccc1
374,phosphorus oxychloride,pocl3,,10025-87-3,Cl3OP,Cl[P](Cl)(Cl)=O
375,phosphorus trichloride,pcl3,,12/02/2019,Cl3P,ClP(Cl)Cl
376,piperidine,piperidine,,110-89-4,C5H11N,C1CCNCC1
377,propanal,propanal,,123-38-6,C3H6O,CCC=O
378,propane,propane,,74-98-6,C3H8,CCC
379,propanedinitrile,dicyanomethane,,109-77-3,C3H2N2,N#CCC#N
380,propanenitrile,propionitrile,,107-12-0,C3H5N,CCC#N
381,propanoic acid,propionicacid,,79-09-4,C3H6O2,CCC(O)=O
382,propanol,propanol,,71-23-8,C3H8O,CCCO
383,propene,propene,,115-07-1,C3H6,CC=C
384,propyl acetate,n-propylacetate,,109-60-4,C5H10O2,CCCOC(C)=O
385,propyl formate,n-propylformate,,110-74-7,C4H8O2,CCCOC=O
386,propyl nitrate,propylnitrate,,627-13-4,C3H7NO3,CCCO[N+]([O-])=O
387,propyl propanoate,propylpropionate,,106-36-5,C6H12O2,CCCOC(=O)CC
388,propylamine,n-propylamine,,107-10-8,C3H9N,CCCN
389,propylbenzene,n-propylbenzene,,103-65-1,C9H12,CCCc1ccccc1
390,pyrazine,pyrazine,,290-37-9,C4H4N2,c1cnccn1
391,pyridine,pyridine,,110-86-1,C5H5N,c1ccncc1
392,pyrrole,pyrrole,,109-97-7,C4H5N,[nH]1cccc1
393,pyrrolidine,pyrrolidine,,123-75-1,C4H9N,[H+].[Cl-].C1CCNC1
394,quinoline,chinoline,,91-22-5,C9H7N,c1ccc2ncccc2c1
